Этап	Полная_без_агента_чел_дни	Полная_с_агентом_чел_дни	С_ИИ_оценка_человека	Сделано_без_агента	Сделано_с_агентом	Остаток_без_агента	Остаток_с_агентом	Эффект_агента_%	FTE_без_агента_12мес	FTE_с_агентом_12мес
0.0	54.0	33.0	25	48.0	30.0	6.0	3.0	38.9	0.25	0.15
0.1	171.0	105.2	60	148.5	90.4	22.5	14.8	38.5	0.78	0.48
0.2	389.5	161.3	—	32.8	14.4	356.7	146.9	58.6	1.77	0.73
0.3	69.5	33.0	—	0.0	0.0	69.5	33.0	52.5	0.32	0.15
0.4	46.0	27.0	—	0.0	0.0	46.0	27.0	41.3	0.21	0.12
0.5	138.0	84.3	—	0.0	0.0	138.0	84.3	38.9	0.63	0.38
0.6	75.5	47.4	—	4.6	2.3	70.9	45.1	37.2	0.34	0.22
0.7	493.0	221.2	—	1.5	0.8	491.5	220.4	55.1	2.24	1.01
0.8	60.0	30.9	—	1.0	0.5	59.0	30.4	48.5	0.27	0.14
0.9	66.0	37.0	—	0.0	0.0	66.0	37.0	43.9	0.3	0.17
1.0	39.0	22.8	—	0.0	0.0	39.0	22.8	41.5	0.18	0.1
1.1	86.0	42.0	—	0.0	0.0	86.0	42.0	51.2	0.39	0.19
1.2	125.0	64.5	—	0.0	0.0	125.0	64.5	48.4	0.57	0.29
2.0	49.5	32.3	—	0.0	0.0	49.5	32.3	34.7	0.23	0.15
ИТОГО	1862.0	941.9	85 (0.0+0.1)	236.4	138.4	1625.6	803.5	49.4	8.46	4.28
